regime,level,threshold,alternative,statistic,auc,ci_low,ci_high
"whale, independent words",m = 5,0.75,lognormal,observed_mean_r2,0.9855555555555555,0.9511111111111111,1.0
"whale, independent words",m = 5,0.75,lognormal,shuffle_z,0.5033333333333333,0.3521666666666667,0.6455555555555555
"whale, independent words",m = 5,0.75,lognormal,rotate_z,0.7422222222222222,0.6110833333333334,0.8611388888888888
"whale, independent words",m = 5,0.75,lognormal,bigram_z,0.89,0.7977777777777778,0.9633333333333334
"whale, independent words",m = 5,0.75,geometric,observed_mean_r2,0.9988888888888889,0.9933333333333333,1.0
"whale, independent words",m = 5,0.75,geometric,shuffle_z,0.6488888888888888,0.5122222222222222,0.7877777777777778
"whale, independent words",m = 5,0.75,geometric,rotate_z,0.8722222222222222,0.7710833333333333,0.9533333333333334
"whale, independent words",m = 5,0.75,geometric,bigram_z,0.9477777777777778,0.8855555555555555,0.9977777777777778
whale song,s = 0,0.25,uniform,observed_mean_r2,0.9611111111111111,0.9111111111111111,0.9933333333333333
whale song,s = 0,0.25,uniform,shuffle_z,0.35444444444444445,0.22,0.5011388888888887
whale song,s = 0,0.25,uniform,rotate_z,0.6722222222222223,0.5322222222222223,0.8055833333333332
whale song,s = 0,0.25,uniform,bigram_z,0.042222222222222223,0.0,0.1078055555555554
whale song,s = 0,0.25,lognormal,observed_mean_r2,0.6088888888888889,0.4588611111111111,0.7489166666666666
whale song,s = 0,0.25,lognormal,shuffle_z,0.4411111111111111,0.2988611111111111,0.5922222222222222
whale song,s = 0,0.25,lognormal,rotate_z,0.5366666666666666,0.3888888888888889,0.6777777777777778
whale song,s = 0,0.25,lognormal,bigram_z,0.34555555555555556,0.21,0.4900277777777776
whale song,s = 0,0.25,geometric,observed_mean_r2,0.6955555555555556,0.5566388888888889,0.8222499999999998
whale song,s = 0,0.25,geometric,shuffle_z,0.28888888888888886,0.16777777777777778,0.4244722222222221
whale song,s = 0,0.25,geometric,rotate_z,0.5277777777777778,0.37777777777777777,0.6766944444444443
whale song,s = 0,0.25,geometric,bigram_z,0.18222222222222223,0.08,0.3
whale song,s = 0,0.5,uniform,observed_mean_r2,1.0,1.0,1.0
