regime,units,alternative,statistic,auc,ci_low,ci_high
"whale, independent words, m = 5",discovered,geometric,csn_alpha,0.2688888888888889,0.14333333333333334,0.4088888888888889
finch,true,uniform,loglog_r2,1.0,1.0,1.0
finch,true,uniform,tail_fraction,0.5,0.5,0.5
finch,true,uniform,gof_p,0.9822222222222222,0.9533333333333334,1.0
finch,true,uniform,lr_normalized_R,0.9777777777777777,0.9422222222222222,1.0
finch,true,uniform,csn_alpha,0.0,0.0,0.0
finch,true,lognormal,loglog_r2,1.0,1.0,1.0
finch,true,lognormal,tail_fraction,0.5,0.5,0.5
finch,true,lognormal,gof_p,0.9522222222222222,0.8922222222222222,0.9922222222222222
finch,true,lognormal,lr_normalized_R,0.9644444444444444,0.9144444444444444,0.9977777777777778
finch,true,lognormal,csn_alpha,0.9955555555555555,0.9833333333333333,1.0
finch,true,geometric,loglog_r2,1.0,1.0,1.0
finch,true,geometric,tail_fraction,0.5,0.5,0.5
finch,true,geometric,gof_p,0.9666666666666667,0.9210833333333334,0.9955555555555555
finch,true,geometric,lr_normalized_R,0.9988888888888889,0.9933333333333333,1.0
finch,true,geometric,csn_alpha,1.0,1.0,1.0
finch,discovered,uniform,loglog_r2,0.9222222222222223,0.8555555555555555,0.9755555555555555
finch,discovered,uniform,tail_fraction,0.057777777777777775,0.011111111111111112,0.12336111111111096
finch,discovered,uniform,gof_p,0.9061111111111111,0.8266666666666667,0.9677916666666666
finch,discovered,uniform,lr_normalized_R,0.5722222222222222,0.41888888888888887,0.7255833333333331
finch,discovered,uniform,csn_alpha,0.5766666666666667,0.42777777777777776,0.7166944444444443
finch,discovered,lognormal,loglog_r2,0.5311111111111111,0.38330555555555557,0.6744444444444444
finch,discovered,lognormal,tail_fraction,0.35444444444444445,0.22,0.4944722222222221
finch,discovered,lognormal,gof_p,0.4161111111111111,0.26884722222222224,0.5616666666666666
finch,discovered,lognormal,lr_normalized_R,0.41888888888888887,0.2766388888888889,0.5644444444444444
finch,discovered,lognormal,csn_alpha,0.7,0.5677777777777778,0.8277777777777777
finch,discovered,geometric,loglog_r2,0.55,0.39775,0.6922499999999998
finch,discovered,geometric,tail_fraction,0.33,0.19333333333333333,0.48
finch,discovered,geometric,gof_p,0.2788888888888889,0.15330555555555556,0.41336111111111096
finch,discovered,geometric,lr_normalized_R,0.35777777777777775,0.23105555555555554,0.497833333333333
finch,discovered,geometric,csn_alpha,0.6477777777777778,0.5044444444444445,0.7844722222222221
"whale song, s = 0",true,uniform,loglog_r2,1.0,1.0,1.0
"whale song, s = 0",true,uniform,tail_fraction,0.4411111111111111,0.2894305555555556,0.5950138888888887
"whale song, s = 0",true,uniform,gof_p,0.9977777777777778,0.9888888888888889,1.0
"whale song, s = 0",true,uniform,lr_normalized_R,1.0,1.0,1.0
"whale song, s = 0",true,uniform,csn_alpha,0.0,0.0,0.0
"whale song, s = 0",true,lognormal,loglog_r2,1.0,1.0,1.0
"whale song, s = 0",true,lognormal,tail_fraction,0.9322222222222222,0.8633333333333333,0.9833333333333333
"whale song, s = 0",true,lognormal,gof_p,0.9711111111111111,0.9177777777777778,1.0
"whale song, s = 0",true,lognormal,lr_normalized_R,0.88,0.7688611111111111,0.9633333333333334
"whale song, s = 0",true,lognormal,csn_alpha,0.15666666666666668,0.06438888888888888,0.2666944444444443
"whale song, s = 0",true,geometric,loglog_r2,1.0,1.0,1.0
"whale song, s = 0",true,geometric,tail_fraction,0.7938888888888889,0.6738472222222222,0.8989166666666665
"whale song, s = 0",true,geometric,gof_p,1.0,1.0,1.0
"whale song, s = 0",true,geometric,lr_normalized_R,1.0,1.0,1.0
"whale song, s = 0",true,geometric,csn_alpha,0.35444444444444445,0.20330555555555557,0.5133611111111109
"whale song, s = 0",discovered,uniform,loglog_r2,1.0,1.0,1.0
"whale song, s = 0",discovered,uniform,tail_fraction,0.3111111111111111,0.18330555555555555,0.4466944444444443
"whale song, s = 0",discovered,uniform,gof_p,0.7472222222222222,0.6222222222222222,0.8661249999999999
