regime,level,change,alternative,statistic,auc,ci_low,ci_high
"whale, independent words",m = 1,Zipf exponent 0.8,lognormal,bigram_z,0.7977777777777778,0.6733333333333333,0.8988888888888888
"whale, independent words",m = 1,Zipf exponent 0.8,geometric,observed_mean_r2,1.0,1.0,1.0
"whale, independent words",m = 1,Zipf exponent 0.8,geometric,shuffle_z,0.6833333333333333,0.5488888888888889,0.8144444444444444
"whale, independent words",m = 1,Zipf exponent 0.8,geometric,rotate_z,0.8933333333333333,0.8033333333333333,0.9577777777777777
"whale, independent words",m = 1,Zipf exponent 0.8,geometric,bigram_z,0.9344444444444444,0.8633333333333333,0.9811111111111112
"whale, independent words",m = 5,Zipf exponent 0.8,uniform,observed_mean_r2,1.0,1.0,1.0
"whale, independent words",m = 5,Zipf exponent 0.8,uniform,shuffle_z,0.41,0.26219444444444445,0.56
"whale, independent words",m = 5,Zipf exponent 0.8,uniform,rotate_z,0.6455555555555555,0.49441666666666667,0.7766666666666666
"whale, independent words",m = 5,Zipf exponent 0.8,uniform,bigram_z,0.022222222222222223,0.0011111111111111111,0.05555555555555555
"whale, independent words",m = 5,Zipf exponent 0.8,lognormal,observed_mean_r2,0.7111111111111111,0.5755555555555556,0.8355555555555556
"whale, independent words",m = 5,Zipf exponent 0.8,lognormal,shuffle_z,0.43666666666666665,0.28886111111111107,0.5811111111111111
"whale, independent words",m = 5,Zipf exponent 0.8,lognormal,rotate_z,0.5966666666666667,0.4499722222222222,0.7355833333333331
"whale, independent words",m = 5,Zipf exponent 0.8,lognormal,bigram_z,0.31333333333333335,0.18666666666666668,0.45222222222222225
"whale, independent words",m = 5,Zipf exponent 0.8,geometric,observed_mean_r2,0.9122222222222223,0.8377777777777777,0.9688888888888889
"whale, independent words",m = 5,Zipf exponent 0.8,geometric,shuffle_z,0.3466666666666667,0.21222222222222223,0.49666666666666665
"whale, independent words",m = 5,Zipf exponent 0.8,geometric,rotate_z,0.4922222222222222,0.34444444444444444,0.6378055555555554
"whale, independent words",m = 5,Zipf exponent 0.8,geometric,bigram_z,0.07444444444444444,0.009972222222222224,0.16002777777777763
"whale, independent words",m = 1,Zipf exponent 1.2,uniform,observed_mean_r2,1.0,1.0,1.0
"whale, independent words",m = 1,Zipf exponent 1.2,uniform,shuffle_z,0.9233333333333333,0.84,0.98
"whale, independent words",m = 1,Zipf exponent 1.2,uniform,rotate_z,1.0,1.0,1.0
"whale, independent words",m = 1,Zipf exponent 1.2,uniform,bigram_z,0.29888888888888887,0.16777777777777778,0.443361111111111
"whale, independent words",m = 1,Zipf exponent 1.2,lognormal,observed_mean_r2,1.0,1.0,1.0
"whale, independent words",m = 1,Zipf exponent 1.2,lognormal,shuffle_z,0.6811111111111111,0.5311111111111111,0.8111111111111111
"whale, independent words",m = 1,Zipf exponent 1.2,lognormal,rotate_z,0.3566666666666667,0.22108333333333335,0.5011111111111111
"whale, independent words",m = 1,Zipf exponent 1.2,lognormal,bigram_z,0.08,0.02666666666666667,0.15
"whale, independent words",m = 1,Zipf exponent 1.2,geometric,observed_mean_r2,1.0,1.0,1.0
"whale, independent words",m = 1,Zipf exponent 1.2,geometric,shuffle_z,0.7077777777777777,0.5644444444444444,0.824472222222222
"whale, independent words",m = 1,Zipf exponent 1.2,geometric,rotate_z,0.7611111111111111,0.6355277777777778,0.8700277777777776
"whale, independent words",m = 1,Zipf exponent 1.2,geometric,bigram_z,0.22666666666666666,0.1111111111111111,0.3578055555555554
"whale, independent words",m = 5,Zipf exponent 1.2,uniform,observed_mean_r2,1.0,1.0,1.0
"whale, independent words",m = 5,Zipf exponent 1.2,uniform,shuffle_z,0.20333333333333334,0.09,0.3188888888888889
"whale, independent words",m = 5,Zipf exponent 1.2,uniform,rotate_z,0.4577777777777778,0.3055555555555556,0.6055555555555555
"whale, independent words",m = 5,Zipf exponent 1.2,uniform,bigram_z,0.0,0.0,0.0
"whale, independent words",m = 5,Zipf exponent 1.2,lognormal,observed_mean_r2,0.9844444444444445,0.9566666666666667,1.0
