song,stickiness,alternative,statistic,auc,ci_low,ci_high
12 themes,0,uniform,shuffle_z,0.9722222222222222,0.93,0.9966666666666667
12 themes,0,uniform,rotate_z,0.99,0.9688888888888889,1.0
12 themes,0,uniform,bigram_z,0.8788888888888889,0.7744444444444445,0.9588888888888889
12 themes,0,uniform,observed_mean_slope,0.8455555555555555,0.7455555555555555,0.9277777777777778
12 themes,0,lognormal,observed_mean_r2,0.5422222222222223,0.39772222222222225,0.6922499999999998
12 themes,0,lognormal,shuffle_z,0.45444444444444443,0.31333333333333335,0.6011111111111112
12 themes,0,lognormal,rotate_z,0.47333333333333333,0.32,0.6255833333333332
12 themes,0,lognormal,bigram_z,0.4111111111111111,0.26555555555555554,0.5511388888888887
12 themes,0,lognormal,observed_mean_slope,0.9188888888888889,0.8422222222222222,0.9755555555555555
12 themes,0,geometric,observed_mean_r2,0.67,0.5311111111111111,0.8011388888888887
12 themes,0,geometric,shuffle_z,0.3566666666666667,0.22886111111111113,0.5011388888888887
12 themes,0,geometric,rotate_z,0.4444444444444444,0.29555555555555557,0.5855555555555556
12 themes,0,geometric,bigram_z,0.3088888888888889,0.17555555555555555,0.44333333333333336
12 themes,0,geometric,observed_mean_slope,0.9933333333333333,0.9766666666666667,1.0
12 themes,0.8,uniform,observed_mean_r2,0.9844444444444445,0.9566666666666667,1.0
12 themes,0.8,uniform,shuffle_z,0.33666666666666667,0.20552777777777778,0.4766944444444443
12 themes,0.8,uniform,rotate_z,0.3233333333333333,0.19333333333333333,0.46447222222222206
12 themes,0.8,uniform,bigram_z,0.0,0.0,0.0
12 themes,0.8,uniform,observed_mean_slope,0.6133333333333333,0.4621944444444444,0.7577777777777778
12 themes,0.8,lognormal,observed_mean_r2,0.4488888888888889,0.30333333333333334,0.5944722222222221
12 themes,0.8,lognormal,shuffle_z,0.3711111111111111,0.23777777777777778,0.5178055555555554
12 themes,0.8,lognormal,rotate_z,0.23555555555555555,0.12444444444444444,0.3644722222222221
12 themes,0.8,lognormal,bigram_z,0.2911111111111111,0.16886111111111113,0.4211111111111111
12 themes,0.8,lognormal,observed_mean_slope,0.7677777777777778,0.6477222222222222,0.8811111111111111
12 themes,0.8,geometric,observed_mean_r2,0.41,0.2677777777777778,0.5611111111111111
12 themes,0.8,geometric,shuffle_z,0.2588888888888889,0.14219444444444446,0.39111111111111113
12 themes,0.8,geometric,rotate_z,0.11,0.04441666666666667,0.20224999999999985
12 themes,0.8,geometric,bigram_z,0.10444444444444445,0.03888888888888889,0.1878055555555554
12 themes,0.8,geometric,observed_mean_slope,0.8655555555555555,0.7644444444444445,0.9444444444444444
2 variants per theme,0,uniform,observed_mean_r2,0.9977777777777778,0.9888888888888889,1.0
2 variants per theme,0,uniform,shuffle_z,0.8566666666666667,0.75,0.9377777777777778
2 variants per theme,0,uniform,rotate_z,0.9155555555555556,0.8366666666666667,0.9744444444444444
2 variants per theme,0,uniform,bigram_z,0.7611111111111111,0.6299444444444444,0.8800277777777776
2 variants per theme,0,uniform,observed_mean_slope,0.8755555555555555,0.7733055555555556,0.9533333333333334
2 variants per theme,0,lognormal,observed_mean_r2,0.30333333333333334,0.1666111111111111,0.45
2 variants per theme,0,lognormal,shuffle_z,0.24222222222222223,0.12666666666666668,0.3788888888888889
2 variants per theme,0,lognormal,rotate_z,0.28888888888888886,0.16111111111111112,0.4288888888888889
2 variants per theme,0,lognormal,bigram_z,0.3377777777777778,0.19555555555555557,0.4777777777777778
2 variants per theme,0,lognormal,observed_mean_slope,0.6555555555555556,0.5133055555555556,0.79
2 variants per theme,0,geometric,observed_mean_r2,0.36444444444444446,0.21888888888888888,0.5122222222222222
2 variants per theme,0,geometric,shuffle_z,0.22333333333333333,0.11333333333333333,0.3578055555555554
2 variants per theme,0,geometric,rotate_z,0.34555555555555556,0.20222222222222222,0.4855555555555556
2 variants per theme,0,geometric,bigram_z,0.43777777777777777,0.30441666666666667,0.5888888888888889
2 variants per theme,0,geometric,observed_mean_slope,0.8288888888888889,0.7121944444444445,0.9211111111111111
2 variants per theme,0.8,uniform,observed_mean_r2,0.9266666666666666,0.8610833333333334,0.9777777777777777
2 variants per theme,0.8,uniform,shuffle_z,0.5233333333333333,0.37,0.6733333333333333
2 variants per theme,0.8,uniform,rotate_z,0.43777777777777777,0.29441666666666666,0.5877777777777777
2 variants per theme,0.8,uniform,bigram_z,0.21333333333333335,0.10555555555555556,0.3422222222222222
2 variants per theme,0.8,uniform,observed_mean_slope,0.8866666666666667,0.7977500000000001,0.9566944444444443
2 variants per theme,0.8,lognormal,observed_mean_r2,0.2388888888888889,0.11444444444444445,0.36669444444444427
2 variants per theme,0.8,lognormal,shuffle_z,0.3566666666666667,0.22333333333333333,0.5078055555555554
2 variants per theme,0.8,lognormal,rotate_z,0.18888888888888888,0.08777777777777777,0.2989166666666665
2 variants per theme,0.8,lognormal,bigram_z,0.3088888888888889,0.18,0.45222222222222225
2 variants per theme,0.8,lognormal,observed_mean_slope,0.6377777777777778,0.4888611111111111,0.7677777777777778
2 variants per theme,0.8,geometric,observed_mean_r2,0.16777777777777778,0.07219444444444444,0.28336111111111095
2 variants per theme,0.8,geometric,shuffle_z,0.22555555555555556,0.11222222222222222,0.35333333333333333
2 variants per theme,0.8,geometric,rotate_z,0.09777777777777778,0.02666666666666667,0.1866944444444443
2 variants per theme,0.8,geometric,bigram_z,0.2288888888888889,0.11219444444444444,0.3611111111111111
2 variants per theme,0.8,geometric,observed_mean_slope,0.6622222222222223,0.5232777777777777,0.7944444444444444
5 variants per theme,0,uniform,observed_mean_r2,1.0,1.0,1.0
5 variants per theme,0,uniform,shuffle_z,0.9788888888888889,0.9477500000000001,0.9988888888888889
5 variants per theme,0,uniform,rotate_z,0.9955555555555555,0.9822222222222222,1.0
5 variants per theme,0,uniform,bigram_z,0.94,0.87775,0.9833333333333333
5 variants per theme,0,uniform,observed_mean_slope,0.74,0.6066666666666667,0.8544722222222221
5 variants per theme,0,lognormal,observed_mean_r2,0.7755555555555556,0.6477777777777778,0.8855555555555555
5 variants per theme,0,lognormal,shuffle_z,0.4166666666666667,0.27111111111111114,0.563361111111111
5 variants per theme,0,lognormal,rotate_z,0.5722222222222222,0.42333333333333334,0.7144722222222221
5 variants per theme,0,lognormal,bigram_z,0.5088888888888888,0.3510833333333333,0.653361111111111
5 variants per theme,0,lognormal,observed_mean_slope,0.9077777777777778,0.8266666666666667,0.9677777777777777
5 variants per theme,0,geometric,observed_mean_r2,0.9155555555555556,0.8388888888888889,0.9755833333333331
5 variants per theme,0,geometric,shuffle_z,0.47888888888888886,0.33552777777777776,0.6288888888888889
5 variants per theme,0,geometric,rotate_z,0.6222222222222222,0.48,0.7600555555555553
5 variants per theme,0,geometric,bigram_z,0.4711111111111111,0.31552777777777774,0.6188888888888889
5 variants per theme,0,geometric,observed_mean_slope,0.98,0.9477777777777778,1.0
5 variants per theme,0.8,uniform,observed_mean_r2,1.0,1.0,1.0
5 variants per theme,0.8,uniform,shuffle_z,0.33,0.20108333333333334,0.4711388888888887
5 variants per theme,0.8,uniform,rotate_z,0.21222222222222223,0.1111111111111111,0.3322499999999998
5 variants per theme,0.8,uniform,bigram_z,0.0,0.0,0.0
5 variants per theme,0.8,uniform,observed_mean_slope,0.4666666666666667,0.3188888888888889,0.6188888888888889
5 variants per theme,0.8,lognormal,observed_mean_r2,0.38,0.23777777777777778,0.5344722222222221
5 variants per theme,0.8,lognormal,shuffle_z,0.3433333333333333,0.1988888888888889,0.4878055555555554
5 variants per theme,0.8,lognormal,rotate_z,0.2688888888888889,0.14666666666666667,0.4011111111111111
5 variants per theme,0.8,lognormal,bigram_z,0.19,0.09888888888888889,0.3011111111111111
5 variants per theme,0.8,lognormal,observed_mean_slope,0.79,0.6655277777777778,0.89
5 variants per theme,0.8,geometric,observed_mean_r2,0.36444444444444446,0.2243888888888889,0.5111388888888887
5 variants per theme,0.8,geometric,shuffle_z,0.2088888888888889,0.10333333333333333,0.3277777777777778
5 variants per theme,0.8,geometric,rotate_z,0.10444444444444445,0.03222222222222222,0.19333333333333333
5 variants per theme,0.8,geometric,bigram_z,0.05555555555555555,0.012194444444444447,0.1178055555555554
5 variants per theme,0.8,geometric,observed_mean_slope,0.8922222222222222,0.7999444444444445,0.9644444444444444
20 renditions per cycle,0,uniform,observed_mean_r2,1.0,1.0,1.0
20 renditions per cycle,0,uniform,shuffle_z,0.9933333333333333,0.9777777777777777,1.0
20 renditions per cycle,0,uniform,rotate_z,0.99,0.9666666666666667,1.0
