regime,law,stickiness,dataset,group,year,source,zipf_exponent,lognormal_sigma,geometric_tail,n_types,loglog_r2,csn_xmin,csn_alpha,csn_tail,tail_fraction,gof_p,gof_failed,lr_R,lr_normalized_R,lr_p,lr_at_bound,lr_mu,lr_sigma,lr_gap,error
song,zipf,0.0,0,0,2010,discovered,1.0,1.0,0.05,60,0.9341016204022379,1,1.8709702431461912,60,1.0,0.3,0.0,-1.3910082188313924,-0.9979671543162629,0.3182952860828052,False,-2.491200992488313,1.9492468192604724,1.8538059975981014e-10,
song,zipf,0.0,0,0,2010,true,1.0,1.0,0.05,24,0.9003033432608127,3,1.800239113273744,22,0.9166666666666666,0.14,0.0,-2.362863259242858,-1.3827190196479813,0.16675103771025224,False,1.710813337042581,1.1148538946808586,1.9326762412674725e-12,
song,zipf,0.0,0,1,2011,discovered,1.0,1.0,0.05,100,0.9356328643210198,4,2.2592478395962154,35,0.35,0.27,0.0,-1.6591700926226394,-1.0662027426197103,0.286332002638211,False,1.2435985266045182,0.989249464498184,6.963318810448982e-13,
song,zipf,0.0,0,1,2011,true,1.0,1.0,0.05,24,0.9611031679247599,13,2.466907712968378,12,0.5,0.8,0.0,-0.14372890509677383,-0.39842255735877663,0.6903187329703558,False,0.6662441214123055,1.4299160324746265,1.6257217794191092e-11,
song,zipf,0.0,0,2,2012,discovered,1.0,1.0,0.05,151,0.9143573329670248,1,1.839855130686662,151,1.0,0.09,0.0,-3.6158332739102494,-1.7274772588283622,0.0840819859160883,False,-2.6665759459392615,2.043350079446925,3.916511559509672e-11,
song,zipf,0.0,0,2,2012,true,1.0,1.0,0.05,24,0.9899313305613175,12,2.08394414058988,20,0.8333333333333334,0.83,0.0,-0.09594626846641008,-0.2866284106059297,0.7743968582626664,False,-3.173540554891213,2.569443001472425,2.040985691564856e-08,
song,zipf,0.0,0,3,2013,discovered,1.0,1.0,0.05,80,0.8726996431242403,6,2.2489106690360563,30,0.375,0.03,0.0,-2.39486944005271,-1.6331459674218085,0.10243830078927998,False,2.081724850043892,0.8084720304438002,9.094947017729282e-13,
song,zipf,0.0,0,3,2013,true,1.0,1.0,0.05,24,0.9424092400840347,6,1.9209856509607337,22,0.9166666666666666,0.67,0.0,-0.8093378868472991,-0.8739614579603636,0.3821392435384423,False,1.2100612573934386,1.54076051932455,1.2775558388966601e-11,
song,zipf,0.0,0,4,2014,discovered,1.0,1.0,0.05,110,0.9187905794798287,11,2.155996948368341,35,0.3181818181818182,0.67,0.0,-0.136556688217905,-0.3799712691535071,0.70396674239836,False,-4.543007437458957,2.679733592804723,7.424191039717698e-08,
song,zipf,0.0,0,4,2014,true,1.0,1.0,0.05,24,0.9748128342763703,20,2.17948992577382,17,0.7083333333333334,0.93,0.0,-0.08750242408516051,-0.2870668295622957,0.7740611498928794,False,-1.9857595770457217,2.3336129380078976,5.550730008963001e-08,
song,zipf,0.0,0,5,2015,discovered,1.0,1.0,0.05,163,0.9388416434705417,5,1.728457415091481,82,0.5030674846625767,0.18,0.0,-2.541458270354138,-1.4429151613777256,0.14904437165551038,False,0.5316139787230627,2.066365506000436,1.2448708730516955e-10,
song,zipf,0.0,0,5,2015,true,1.0,1.0,0.05,24,0.994931527330944,57,2.0643344296918116,16,0.6666666666666666,0.94,0.0,-0.26253956092246966,-0.48295159862722425,0.6291301034691128,False,2.3595806193671565,1.7538271952537499,7.411244951072149e-10,
song,zipf,0.0,0,6,2016,discovered,1.0,1.0,0.05,101,0.9079483866145013,3,1.6096219534625038,72,0.7128712871287128,0.02,0.0,-5.3043546280091345,-1.9957623919756726,0.045959792179946904,False,1.432225327442773,1.7565947720111128,1.0311396181350574e-10,
song,zipf,0.0,0,6,2016,true,1.0,1.0,0.05,24,0.9828627813603278,25,2.1193081625606327,22,0.9166666666666666,0.94,0.0,-0.1572736521594189,-0.3953029250188535,0.6926193409872147,False,-0.7243910190189378,2.2121153980105186,1.0956540563711314e-08,
song,zipf,0.0,0,7,2017,discovered,1.0,1.0,0.05,138,0.9183702205906907,1,1.5025416930133593,138,1.0,0.01,0.0,-7.752648638845255,-2.3481784483065073,0.018865480518995816,False,-1.02161679002795,2.4916438991626766,4.746425474877469e-10,
song,zipf,0.0,0,7,2017,true,1.0,1.0,0.05,24,0.9827319449875627,32,2.085949908149522,19,0.7916666666666666,0.55,0.0,-0.43631542476110585,-0.6051780190599548,0.5450607192748924,False,2.432531026647694,1.5306518877143764,3.05527692034957e-09,
song,zipf,0.0,1,0,2010,discovered,1.0,1.0,0.05,70,0.9091864037363772,1,1.9950600666082434,70,1.0,0.05,0.0,-3.555011723366625,-1.6827683208591062,0.09241994989723527,False,-0.27698525986803124,1.1335668696068106,3.771560841414612e-11,
song,zipf,0.0,1,0,2010,true,1.0,1.0,0.05,23,0.9564803893614023,7,2.2080060396633834,11,0.4782608695652174,0.86,0.0,0.0014788268688166184,0.01575747375435951,0.987427875248488,False,-25.687231371842966,4.820694853231871,3.540706653382131e-05,
song,zipf,0.0,1,1,2011,discovered,1.0,1.0,0.05,82,0.9299258602918753,1,1.7166448524464872,82,1.0,0.0,0.0,-5.482628077975585,-2.033114632611269,0.042040942996726526,False,-0.21024558747488473,1.5126073119350212,7.338485374930315e-11,
song,zipf,0.0,1,1,2011,true,1.0,1.0,0.05,23,0.9884045816431367,5,1.9962084171577528,22,0.9565217391304348,0.74,0.0,-0.6103671910759889,-0.7618524130918398,0.4461480942540177,False,0.5257662214316017,1.5983834318370134,2.689120037757675e-10,
song,zipf,0.0,1,2,2012,discovered,1.0,1.0,0.05,109,0.9127626382696844,1,1.5760975441956544,109,1.0,0.01,0.0,-7.636433527547123,-2.227261934627576,0.02592977297597888,False,-0.24237891447553084,1.8990216602296197,7.048583938740194e-12,
song,zipf,0.0,1,2,2012,true,1.0,1.0,0.05,24,0.9530442432858259,11,2.0929877545132713,23,0.9583333333333334,0.78,0.0,-0.4079804643747269,-0.5908983160970045,0.5545885543331357,False,0.7191889891687306,1.6937294565051328,3.8255620893323794e-11,
song,zipf,0.0,1,3,2013,discovered,1.0,1.0,0.05,121,0.9221872132028505,5,2.7639742224653086,34,0.2809917355371901,0.57,0.0,-0.2159978405837233,-0.4028892052160392,0.6870297328982733,False,-1.4249239503568099,1.4609398020053488,3.1167246561381035e-10,
song,zipf,0.0,1,3,2013,true,1.0,1.0,0.05,24,0.9002238673893869,10,2.3566898426373357,19,0.7916666666666666,0.96,0.0,-0.016062936131888694,-0.11516274800492499,0.9083161249593503,False,-12.94261579529038,3.450585663875911,3.552598570877308e-08,
song,zipf,0.0,1,4,2014,discovered,1.0,1.0,0.05,94,0.8718174977109767,29,3.0553645447563564,17,0.18085106382978725,0.31,0.0,-0.05914474464862529,-0.2084844318999834,0.8348507371206203,False,-0.6154773926605199,1.5313563675919935,1.4818937188465497e-08,
song,zipf,0.0,1,4,2014,true,1.0,1.0,0.05,24,0.9889883609964267,12,1.8710219058245323,24,1.0,0.63,0.0,-1.1007789256588616,-0.9809855156781512,0.326599884330827,False,2.3262237437735784,1.4790737742037368,3.907558721039095e-10,
song,zipf,0.0,1,5,2015,discovered,1.0,1.0,0.05,86,0.7968702664542616,44,2.5506118249099923,26,0.3023255813953488,0.97,0.0,0.002842155574551697,0.08132877718174272,0.9351804889063275,False,-82.41353487275029,7.4850549603032235,0.0006534340465123023,
song,zipf,0.0,1,5,2015,true,1.0,1.0,0.05,24,0.9919097380033468,42,2.163371264118998,20,0.8333333333333334,0.81,0.0,-0.08579663251014225,-0.28301799711744197,0.7771630410787621,False,-1.8988704368331035,2.4810681119204054,7.133976964723843e-09,
song,zipf,0.0,1,6,2016,discovered,1.0,1.0,0.05,109,0.8851699520111093,23,2.599857779171058,28,0.25688073394495414,0.4,0.0,0.020927038643872464,0.6797498020002433,0.4966628962072652,False,-93246.06805000309,239.8771855562607,0.00016396728369727498,
song,zipf,0.0,1,6,2016,true,1.0,1.0,0.05,24,0.9919032664316197,22,2.057164950148556,23,0.9583333333333334,0.94,0.0,-0.19757282023528155,-0.42002827496927675,0.6744647982374561,False,-0.4805808159168224,2.2136004746204283,3.0540903139808506e-08,
song,zipf,0.0,1,7,2017,discovered,1.0,1.0,0.05,82,0.7375761947009023,24,2.8402426033453767,35,0.4268292682926829,0.75,0.0,-0.0953471340900105,-0.31072789343079565,0.7560074903194739,False,-1.9950949467967112,1.819726665448638,2.629383288876852e-08,
song,zipf,0.0,1,7,2017,true,1.0,1.0,0.05,24,0.9940669508808422,31,2.2148418267095784,19,0.7916666666666666,0.96,0.0,-0.023647606029356005,-0.14284192289799524,0.8864150268646059,False,-8.809467809598281,3.3553684858686683,1.9130482087348355e-07,
song,zipf,0.0,2,0,2010,discovered,1.0,1.0,0.05,73,0.9323495394895228,2,2.297752314480435,37,0.5068493150684932,0.08,0.0,-0.8016760989847489,-0.8550642200878934,0.3925155961637459,False,-0.5748375607549852,1.280443923294547,3.413447302591521e-11,
song,zipf,0.0,2,0,2010,true,1.0,1.0,0.05,24,0.8529521298798847,7,2.6234377387094727,15,0.625,0.49,0.0,0.011098350910736965,0.10922266698408598,0.9130258822074454,False,-31.356970281041566,4.508845660479988,8.32158251284909e-06,
song,zipf,0.0,2,1,2011,discovered,1.0,1.0,0.05,88,0.920188959672542,6,2.2803650040303625,29,0.32954545454545453,0.35,0.0,-0.5610693630795751,-0.7594104569679669,0.4476070601012102,False,0.47994707412942594,1.3882572171156098,3.2670754990249407e-10,
song,zipf,0.0,2,1,2011,true,1.0,1.0,0.05,24,0.9082821080166966,10,2.2661445244917213,17,0.7083333333333334,0.54,0.0,-0.11338066755177412,-0.31046902590234715,0.756204310279218,False,-1.8062892090345195,2.0557656219907656,6.082245818106458e-11,
song,zipf,0.0,2,2,2012,discovered,1.0,1.0,0.05,104,0.8157966828868407,18,5.9652377957255105,15,0.14423076923076922,0.61,0.0,-0.38851527642868144,-0.59800423146262,0.549837109649574,False,2.719664227446383,0.3133750195363973,3.623767952376511e-13,
song,zipf,0.0,2,2,2012,true,1.0,1.0,0.05,23,0.9814141791506686,10,1.9982820903837943,21,0.9130434782608695,0.62,0.0,-0.44418434928714534,-0.6101924376159747,0.5417343387216702,False,0.9060974397954884,1.7261355865599048,4.673950115829939e-11,
