law,brevity,mean_repeats,dataset,condition,loglog_r2,loglog_r2_undefined_years,loglog_slope,loglog_slope_undefined_years,brevity_r2,brevity_r2_undefined_years,brevity_slope,brevity_slope_undefined_years,csn_alpha,csn_alpha_undefined_years,boundary_f1,boundary_f1_undefined_years
zipf,True,1.0,0,clean,0.9536558300635632,0,-0.9888478656375472,0,0.20815045429427242,0,-0.9012059392487344,0,1.9546295605244568,0,0.8018456881735434,0
zipf,True,1.0,0,confuse_6.7,0.8870300795130672,0,-0.7321941971526954,0,0.1309049408483324,0,-0.8966446641024757,0,2.1903445097454552,0,0.7233066646485564,0
zipf,True,1.0,0,confuse_19.19,0.7617013642873179,0,-0.4844088894362195,0,0.11690806091907649,0,-1.177699763371808,0,2.592331423508482,0,0.5916831574636734,0
zipf,True,1.0,0,oversplit_25,0.9347564695886483,0,-0.8638585343335959,0,0.19002326331365632,0,-0.923671969507435,0,2.0731632001689198,0,0.7855829417867772,0
zipf,True,1.0,0,undersplit_25,0.9459179727698268,0,-0.9189890058594088,0,0.21174024859357016,0,-0.9434698253011837,0,2.0259261658894934,0,0.746967482301933,0
zipf,True,1.0,1,clean,0.9491028598976895,0,-0.9806554333205448,0,0.21902454340144395,0,-0.9122457616300033,0,2.0250074351355134,0,0.7844525116144078,0
zipf,True,1.0,1,confuse_6.7,0.8775940164297866,0,-0.7175122816572814,0,0.12312798114728522,0,-0.8337692561042866,0,2.2508957914831877,0,0.706198810247531,0
zipf,True,1.0,1,confuse_19.19,0.7748388807021341,0,-0.4971730768205661,0,0.11739873242593298,0,-1.1683941633128492,0,2.6217413443530773,0,0.5899798326824799,0
zipf,True,1.0,1,oversplit_25,0.9268335394574442,0,-0.8589593726897911,0,0.18966113589232586,0,-0.8880011912964427,0,2.091491030866078,0,0.7590159326910083,0
zipf,True,1.0,1,undersplit_25,0.9437601211688412,0,-0.9396681271827567,0,0.2171307075575043,0,-0.9708390231562417,0,2.0908019067274446,0,0.7466497909280175,0
zipf,True,1.0,2,clean,0.9428806091823647,0,-0.9099284567344196,0,0.2051084298096006,0,-1.0046056431938237,0,2.0237446694298344,0,0.7706210471863093,0
zipf,True,1.0,2,confuse_6.7,0.8528041052377138,0,-0.6592576970327559,0,0.11215697386718754,0,-0.9141415296235997,0,2.36108842283069,0,0.6903943580029949,0
zipf,True,1.0,2,confuse_19.19,0.7541722477421458,0,-0.4622641335734778,0,0.11213540829410412,0,-1.2882284913935949,0,2.6943121435521613,0,0.5737030689844123,0
zipf,True,1.0,2,oversplit_25,0.9158667704039742,0,-0.794678736209748,0,0.17990024698621412,0,-0.9886961458728633,0,2.1786802651038406,0,0.7399319221955591,0
zipf,True,1.0,2,undersplit_25,0.9373587770836564,0,-0.8786479049637539,0,0.20919562963814875,0,-1.035114200148325,0,2.049814401704775,0,0.729418124423455,0
