regime,undefined_policy,law,mean_repeats,dataset,threshold,zipf_exponent,lognormal_sigma,geometric_tail,observed_mean_r2,observed_undefined_groups,observed_mean_slope,observed_mean_unit_types,boundary_f1,cuts_per_sequence,elements_total,n_groups,shuffle_mean,shuffle_sd,shuffle_z,shuffle_p,shuffle_undefined_rate,shuffle_dropped_replicates,rotate_mean,rotate_sd,rotate_z,rotate_p,rotate_undefined_rate,rotate_dropped_replicates,bigram_mean,bigram_sd,bigram_z,bigram_p,bigram_undefined_rate,bigram_dropped_replicates
whale,skip,zipf,1.0,0,0.75,1.0,1.0,0.05,0.9554959328460189,0,-1.103152178145173,295.375,0.6355775288045825,314.45454545454544,45596,8,0.8232069657688421,0.005506917711773693,24.02232501029483,0.004975124378109453,0.0,0,0.8767731452057447,0.0041216201255037475,19.099961967177318,0.004975124378109453,0.0,0,0.9261676871084468,0.0030986854933395362,9.464737805954051,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,1,0.75,1.0,1.0,0.05,0.9562690388527724,0,-1.1275667399180227,278.375,0.684414273333437,312.03636363636366,45628,8,0.8112206562592726,0.005344252613419049,27.14100419379377,0.004975124378109453,0.0,0,0.8824999157993603,0.00349279601781393,21.120363936850424,0.004975124378109453,0.0,0,0.93059042691983,0.0027166866676454006,9.452180201259097,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,2,0.75,1.0,1.0,0.05,0.9549068167012623,0,-1.1140130538409565,285.5,0.6602234858889628,320.8181818181818,45657,8,0.8257060372696663,0.005454413346084887,23.68738326814465,0.004975124378109453,0.0,0,0.8782541751762498,0.0041660984632230676,18.399143035546697,0.004975124378109453,0.0,0,0.9245325924296813,0.0029645236535148895,10.24590383536585,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,3,0.75,1.0,1.0,0.05,0.9540807908426392,0,-1.1225946749904765,277.0,0.6741398040698153,317.54545454545456,45626,8,0.81607604315862,0.005162317121685753,26.73310151836502,0.004975124378109453,0.0,0,0.8792145794808519,0.004230932677456711,17.69496635119959,0.004975124378109453,0.0,0,0.9281618523408443,0.002782114855441374,9.31627191850172,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,4,0.75,1.0,1.0,0.05,0.952921490031934,0,-1.0912048264544043,290.0,0.6771742033937186,290.3272727272727,45741,8,0.8180358176981266,0.0050305765534999995,26.81316364025141,0.004975124378109453,0.0,0,0.8716589252708957,0.0037640147371492414,21.589332251813737,0.004975124378109453,0.0,0,0.92660576941383,0.0026800381699887722,9.81915888840281,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,5,0.75,1.0,1.0,0.05,0.9605932056664824,0,-1.1357305989967477,282.5,0.647447282355708,334.90909090909093,45577,8,0.8324931889536376,0.00504901416558493,25.37129279335354,0.004975124378109453,0.0,0,0.8993765986001242,0.003537823438642352,17.303465853527797,0.004975124378109453,0.0,0,0.9292483264957303,0.003261537926790794,9.610459812004724,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,6,0.75,1.0,1.0,0.05,0.9519419782202527,0,-1.1343658655676327,284.125,0.6371676530456335,346.58181818181816,45770,8,0.8289594864261894,0.005334021259611285,23.056243274708205,0.004975124378109453,0.0,0,0.8843227499506325,0.004129510359877949,16.374635822833664,0.004975124378109453,0.0,0,0.9262353886386108,0.0031181379368995874,8.244211802638345,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,7,0.75,1.0,1.0,0.05,0.9548904046761362,0,-1.1105137653725352,300.375,0.6055896001646959,328.4,45785,8,0.8202202994226525,0.005014905922078711,26.85396443043582,0.004975124378109453,0.0,0,0.893177026703572,0.0037019492476097703,16.67050892510493,0.004975124378109453,0.0,0,0.9265657138915547,0.0035848109164345354,7.9013067759661,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,8,0.75,1.0,1.0,0.05,0.9601112273655346,0,-1.1417362952586676,286.5,0.6327417212395122,344.94545454545454,45455,8,0.8362371735756452,0.005391087340302939,22.977563888424886,0.004975124378109453,0.0,0,0.8943317412812033,0.003840754109930589,17.126711109740906,0.004975124378109453,0.0,0,0.9295733110086563,0.0028499508944800087,10.71524299454645,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,9,0.75,1.0,1.0,0.05,0.9584317673133884,0,-1.1350141073320246,282.75,0.641231018964783,320.3636363636364,45951,8,0.8216673106210115,0.00518255558628099,26.38938539403478,0.004975124378109453,0.0,0,0.8976216022540174,0.0033013340827391844,18.41987618802746,0.004975124378109453,0.0,0,0.9300446607888648,0.0030347795584514795,9.353927024277287,0.004975124378109453,0.0,0
