regime,undefined_policy,law,mean_repeats,dataset,threshold,observed_mean_r2,observed_undefined_groups,boundary_f1,cuts_per_sequence,elements_total,n_groups,shuffle_mean,shuffle_sd,shuffle_z,shuffle_p,shuffle_undefined_rate,shuffle_dropped_replicates,rotate_mean,rotate_sd,rotate_z,rotate_p,rotate_undefined_rate,rotate_dropped_replicates,bigram_mean,bigram_sd,bigram_z,bigram_p,bigram_undefined_rate,bigram_dropped_replicates
whale,skip,zipf,1.0,0,0.5,0.9397139802098329,0,0.6862300180782025,224.4181818181818,45596,8,0.6253762454959777,0.012309833291712523,25.53549891902111,0.004975124378109453,0.0,0,0.7924747658593305,0.006592788640304521,22.33337399144975,0.004975124378109453,0.0,0,0.8659356235859996,0.00533341461967866,13.833231032069737,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,1,0.5,0.942657010894188,0,0.753162174352876,219.65454545454546,45628,8,0.5833421532096328,0.014104077556825374,25.475955888421236,0.004975124378109453,0.0,0,0.796416004431816,0.005806113100279288,25.187419524317804,0.004975124378109453,0.0,0,0.8832122957594613,0.004584314236482847,12.966980897961648,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,2,0.5,0.9453532362976927,0,0.6924397174238388,249.05454545454546,45657,8,0.63445567965208,0.011260257029195751,27.610165188904052,0.004975124378109453,0.0,0,0.8077421561886876,0.005938273341872919,23.173584674632522,0.004975124378109453,0.0,0,0.8700899919198024,0.005527196673445342,13.616892762199376,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,3,0.5,0.9462360984422186,0,0.7288088235403662,228.07272727272726,45626,8,0.6116277142227561,0.011122400603848422,30.084187410376664,0.004975124378109453,0.0,0,0.7811943270732519,0.007499331022734792,22.007532521051548,0.004975124378109453,0.0,0,0.866459590254878,0.005962276412345598,13.38020961627239,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,4,0.5,0.94045333573249,0,0.7141671070240897,225.4,45741,8,0.6171850452771726,0.011222383181253162,28.80567213168525,0.004975124378109453,0.0,0,0.797559609913947,0.006130770179715629,23.307630465634414,0.004975124378109453,0.0,0,0.8690338107180131,0.004861958816588459,14.68945495194272,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,5,0.5,0.952673491931276,0,0.7260896007068872,228.03636363636363,45577,8,0.649464760727792,0.01142905797903841,26.529634529773787,0.004975124378109453,0.0,0,0.8083520566060659,0.005667508150616003,25.464707149918045,0.004975124378109453,0.0,0,0.8710536301591296,0.006302456359967593,12.950484241443618,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,6,0.5,0.9436703997121478,0,0.7016135871628553,244.96363636363637,45770,8,0.6480335469677648,0.011125010287027781,26.574074550664257,0.004975124378109453,0.0,0,0.8027470670306331,0.006768470495117779,20.82055802461801,0.004975124378109453,0.0,0,0.8612978256974645,0.006739198396962141,12.222903847409329,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,7,0.5,0.930113819383073,0,0.6759634354174089,220.9090909090909,45785,8,0.6180498917714697,0.012380808741452233,25.20545580893927,0.004975124378109453,0.0,0,0.7825917227395571,0.008671993482362712,17.011324667569173,0.004975124378109453,0.0,0,0.8676149151750239,0.005662381903575115,11.037564274601223,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,8,0.5,0.946420902374899,0,0.714699938633194,241.3272727272727,45455,8,0.6653001035673856,0.01050313147289552,26.765427009361577,0.004975124378109453,0.0,0,0.8062949462283814,0.007881207632730381,17.77975694544315,0.004975124378109453,0.0,0,0.8664192483840151,0.005920209203420933,13.513315364709703,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,9,0.5,0.9464671546156911,0,0.7207413701616071,234.96363636363637,45951,8,0.6239857845261702,0.010502727795020043,30.704534705967358,0.004975124378109453,0.0,0,0.7953481770252127,0.006885083428026753,21.948750392090563,0.004975124378109453,0.0,0,0.8709652873166442,0.005789809426252944,13.040475383644921,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,10,0.5,0.9435076165225005,0,0.7123642105317508,241.2,45641,8,0.6176598759785691,0.01221313375488988,26.68010905992648,0.004975124378109453,0.0,0,0.7978942683198588,0.00754077314861833,19.31013509262269,0.004975124378109453,0.0,0,0.8730108263971705,0.0048135361263254035,14.645530494677384,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,11,0.5,0.938171720648169,0,0.7117524641526403,223.4909090909091,45858,8,0.6577909025822746,0.011151822328167029,25.142152539295278,0.004975124378109453,0.0,0,0.7686299684065354,0.007974294890193304,21.261033680875546,0.004975124378109453,0.0,0,0.8601515417050258,0.005754534170356455,13.558035565250687,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,12,0.5,0.9453611411289575,0,0.705921577813191,234.29090909090908,45781,8,0.6034528424355371,0.012678881787699506,26.966754988213932,0.004975124378109453,0.0,0,0.7970141818041262,0.006095140837919198,24.33856136710289,0.004975124378109453,0.0,0,0.8708784327555509,0.005464769698152672,13.629615242264466,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,13,0.5,0.9404547327901077,0,0.7019714362901733,233.4181818181818,45590,8,0.6270548343883491,0.010576655406856964,29.631285727487914,0.004975124378109453,0.0,0,0.8083596177556893,0.007105314515485939,18.591029960252826,0.004975124378109453,0.0,0,0.8701413374894287,0.005513009681951599,12.75408521970674,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,14,0.5,0.9421326755575317,0,0.7090079475720329,238.56363636363636,45713,8,0.6262369183980085,0.011227196897911304,28.136654236311827,0.004975124378109453,0.0,0,0.7817188566717741,0.0081446329418622,19.695647431973814,0.004975124378109453,0.0,0,0.866587855378105,0.005647350996971496,13.377036458321621,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,15,0.5,0.94509783653432,0,0.7067230652204964,241.3090909090909,45483,8,0.6192936312295213,0.011534761273818115,28.24542247305257,0.004975124378109453,0.0,0,0.8070060106630825,0.0063857340717812855,21.625051140395687,0.004975124378109453,0.0,0,0.876562542897932,0.005014931813105848,13.666246359976471,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,16,0.5,0.9514912771705607,0,0.7323042429891755,217.4181818181818,46024,8,0.6022950560748452,0.013187584420260206,26.479164793761786,0.004975124378109453,0.0,0,0.7747733522099929,0.007494833797858971,23.578631591677237,0.004975124378109453,0.0,0,0.867126982984233,0.005601099971117469,15.062093985352723,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,17,0.5,0.9384946261713333,0,0.7180541582425202,254.01818181818183,45776,8,0.6172471325218507,0.012394815914410167,25.91789146912633,0.004975124378109453,0.0,0,0.8062389095154268,0.006894037203462152,19.18407353379067,0.004975124378109453,0.0,0,0.8788751692988983,0.0055141921475071395,10.81200206260273,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,18,0.5,0.9457592143620754,0,0.7136992921166906,236.87272727272727,45856,8,0.6380895300801815,0.010689293488243356,28.782976594317024,0.004975124378109453,0.0,0,0.7955406259873575,0.007037310055563179,21.346023862621507,0.004975124378109453,0.0,0,0.86228851856969,0.0052860585177962926,15.790724887242368,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,19,0.5,0.9401121111276665,0,0.7003421170074337,220.65454545454546,45726,8,0.610260815055258,0.012421695930144739,26.554449402672265,0.004975124378109453,0.0,0,0.796980161079297,0.006664080296527091,21.47812506445353,0.004975124378109453,0.0,0,0.8732101069773699,0.005212926386222677,12.833867043876335,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,20,0.5,0.9411933173049916,0,0.7000343034915004,221.72727272727272,45572,8,0.6395562292724646,0.011898109310937394,25.35168236815959,0.004975124378109453,0.0,0,0.762068364153339,0.009198369314816348,19.473555259748657,0.004975124378109453,0.0,0,0.8717000488660648,0.00512765386679305,13.552644200297676,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,21,0.5,0.9482764911542719,0,0.7379368228712716,229.6727272727273,45735,8,0.5957886403877845,0.013398142170363125,26.30871103504152,0.004975124378109453,0.0,0,0.7869380637673307,0.0071864433336706985,22.450386080555464,0.004975124378109453,0.0,0,0.8722078351967297,0.005066987726346947,15.012599213928631,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,22,0.5,0.9443493797870284,0,0.7237754378452133,232.0909090909091,45738,8,0.6378358244365647,0.011513717536250514,26.62159761913709,0.004975124378109453,0.0,0,0.7869600245459218,0.008064585096712533,19.516113148246784,0.004975124378109453,0.0,0,0.866698605601433,0.00571786121062914,13.580388072597417,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,23,0.5,0.9469113054715673,0,0.7201548196286475,238.2,45739,8,0.6205230007518664,0.011437687599631903,28.53621432449379,0.004975124378109453,0.0,0,0.8147725519346751,0.005673845577484135,23.289099382835943,0.004975124378109453,0.0,0,0.8641984946641346,0.005812269296419578,14.2307258299929,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,24,0.5,0.94217021150465,0,0.6894559632433168,220.6,45937,8,0.6436448808514896,0.011092721958261286,26.91181945931982,0.004975124378109453,0.0,0,0.7967780001612148,0.006798835520597338,21.384869644656614,0.004975124378109453,0.0,0,0.868720675076668,0.005819386476146706,12.62152577922896,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,25,0.5,0.9353197198035483,0,0.720531998509173,223.16363636363636,45761,8,0.6247378379894105,0.010901345300694016,28.49023430111558,0.004975124378109453,0.0,0,0.783015268737325,0.006628864927381701,22.975947275242078,0.004975124378109453,0.0,0,0.8683656245717009,0.005791773374653716,11.560206330733822,0.004975124378109453,0.0,0
