regime,undefined_policy,law,mean_repeats,dataset,threshold,zipf_exponent,lognormal_sigma,geometric_tail,observed_mean_r2,observed_undefined_groups,observed_mean_slope,observed_mean_unit_types,boundary_f1,cuts_per_sequence,elements_total,n_groups,shuffle_mean,shuffle_sd,shuffle_z,shuffle_p,shuffle_undefined_rate,shuffle_dropped_replicates,rotate_mean,rotate_sd,rotate_z,rotate_p,rotate_undefined_rate,rotate_dropped_replicates,bigram_mean,bigram_sd,bigram_z,bigram_p,bigram_undefined_rate,bigram_dropped_replicates
whale,skip,zipf,1.0,0,0.5,1.0,1.0,0.01,0.9397139802098329,0,-0.9496771435321832,337.125,0.6862300180782025,224.4181818181818,45596,8,0.6253762454959777,0.012309833291712523,25.53549891902111,0.004975124378109453,0.0,0,0.7924747658593305,0.006592788640304521,22.33337399144975,0.004975124378109453,0.0,0,0.8659356235859996,0.00533341461967866,13.833231032069737,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,1,0.5,1.0,1.0,0.01,0.942657010894188,0,-0.9521475328953846,317.25,0.753162174352876,219.65454545454546,45628,8,0.5833421532096328,0.014104077556825374,25.475955888421236,0.004975124378109453,0.0,0,0.796416004431816,0.005806113100279288,25.187419524317804,0.004975124378109453,0.0,0,0.8832122957594613,0.004584314236482847,12.966980897961648,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,2,0.5,1.0,1.0,0.01,0.9453532362976927,0,-0.9694461521733351,323.375,0.6924397174238388,249.05454545454546,45657,8,0.63445567965208,0.011260257029195751,27.610165188904052,0.004975124378109453,0.0,0,0.8077421561886876,0.005938273341872919,23.173584674632522,0.004975124378109453,0.0,0,0.8700899919198024,0.005527196673445342,13.616892762199376,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,3,0.5,1.0,1.0,0.01,0.9462360984422186,0,-0.9426799858095709,319.875,0.7288088235403662,228.07272727272726,45626,8,0.6116277142227561,0.011122400603848422,30.084187410376664,0.004975124378109453,0.0,0,0.7811943270732519,0.007499331022734792,22.007532521051548,0.004975124378109453,0.0,0,0.866459590254878,0.005962276412345598,13.38020961627239,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,4,0.5,1.0,1.0,0.01,0.94045333573249,0,-0.9387775264740756,327.0,0.7141671070240897,225.4,45741,8,0.6171850452771726,0.011222383181253162,28.80567213168525,0.004975124378109453,0.0,0,0.797559609913947,0.006130770179715629,23.307630465634414,0.004975124378109453,0.0,0,0.8690338107180131,0.004861958816588459,14.68945495194272,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,5,0.5,1.0,1.0,0.01,0.952673491931276,0,-0.9664996712511285,325.375,0.7260896007068872,228.03636363636363,45577,8,0.649464760727792,0.01142905797903841,26.529634529773787,0.004975124378109453,0.0,0,0.8083520566060659,0.005667508150616003,25.464707149918045,0.004975124378109453,0.0,0,0.8710536301591296,0.006302456359967593,12.950484241443618,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,6,0.5,1.0,1.0,0.01,0.9436703997121478,0,-0.9631429625151323,324.375,0.7016135871628553,244.96363636363637,45770,8,0.6480335469677648,0.011125010287027781,26.574074550664257,0.004975124378109453,0.0,0,0.8027470670306331,0.006768470495117779,20.82055802461801,0.004975124378109453,0.0,0,0.8612978256974645,0.006739198396962141,12.222903847409329,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,7,0.5,1.0,1.0,0.01,0.930113819383073,0,-0.9112768359698737,341.75,0.6759634354174089,220.9090909090909,45785,8,0.6180498917714697,0.012380808741452233,25.20545580893927,0.004975124378109453,0.0,0,0.7825917227395571,0.008671993482362712,17.011324667569173,0.004975124378109453,0.0,0,0.8676149151750239,0.005662381903575115,11.037564274601223,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,8,0.5,1.0,1.0,0.01,0.946420902374899,0,-0.9675578209355613,321.125,0.714699938633194,241.3272727272727,45455,8,0.6653001035673856,0.01050313147289552,26.765427009361577,0.004975124378109453,0.0,0,0.8062949462283814,0.007881207632730381,17.77975694544315,0.004975124378109453,0.0,0,0.8664192483840151,0.005920209203420933,13.513315364709703,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,9,0.5,1.0,1.0,0.01,0.9464671546156911,0,-0.9571297903911062,321.125,0.7207413701616071,234.96363636363637,45951,8,0.6239857845261702,0.010502727795020043,30.704534705967358,0.004975124378109453,0.0,0,0.7953481770252127,0.006885083428026753,21.948750392090563,0.004975124378109453,0.0,0,0.8709652873166442,0.005789809426252944,13.040475383644921,0.004975124378109453,0.0,0
