regime,undefined_policy,law,mean_repeats,dataset,threshold,observed_mean_r2,observed_undefined_groups,observed_mean_slope,observed_mean_unit_types,boundary_f1,cuts_per_sequence,elements_total,n_groups,shuffle_mean,shuffle_sd,shuffle_z,shuffle_p,shuffle_undefined_rate,shuffle_dropped_replicates,rotate_mean,rotate_sd,rotate_z,rotate_p,rotate_undefined_rate,rotate_dropped_replicates,bigram_mean,bigram_sd,bigram_z,bigram_p,bigram_undefined_rate,bigram_dropped_replicates
finch,zero,zipf,1.0,0,0.5,0.8864150449239424,0,-0.6780539006237372,58.86666666666667,0.5476498043180762,10.723333333333333,13411,30,0.6290671440470388,0.017183338381913743,14.976595068847283,0.004975124378109453,0.0025,0,0.738264926588922,0.009082027331454266,16.312450175295588,0.004975124378109453,0.0,0,0.815417474866195,0.010164426191465537,6.984906842784677,0.004975124378109453,0.0,0
finch,zero,zipf,1.0,1,0.5,0.8802477412050441,0,-0.7574124549888787,52.0,0.6573382939301594,11.39,13013,30,0.563699118637993,0.022647283764239606,13.977332816701225,0.004975124378109453,0.007166666666666667,0,0.7556858048655202,0.00785679139880149,15.854046520635023,0.004975124378109453,0.0,0,0.8376357102301888,0.011808908513927659,3.6084648233660093,0.004975124378109453,0.0,0
finch,zero,zipf,1.0,2,0.5,0.8695093258432014,0,-0.6796232256432296,58.13333333333333,0.5466590484471154,10.6,12414,30,0.6195380949431764,0.01882811846323569,13.276484922703553,0.004975124378109453,0.007166666666666667,0,0.7518773747800835,0.007824902294089567,15.033024904600987,0.004975124378109453,0.0,0,0.829239596577963,0.009936376242629706,4.052758096303815,0.004975124378109453,0.0,0
finch,zero,zipf,1.0,3,0.5,0.8819497206909765,0,-0.7631936271683052,51.333333333333336,0.6263766848197757,10.95,11841,30,0.5303876148205963,0.02101011178235897,16.732995498175672,0.004975124378109453,0.0555,0,0.7809209028141936,0.007527898784783321,13.420586642450578,0.004975124378109453,0.0,0,0.8394871551781451,0.010854407273388239,3.9120114478233154,0.004975124378109453,0.0,0
finch,zero,zipf,1.0,4,0.5,0.9135857918277259,0,-0.7922510835274632,53.733333333333334,0.6183668347076515,11.866666666666667,12656,30,0.5898105953924779,0.021296622308205494,15.203124314718155,0.004975124378109453,0.009166666666666667,0,0.7976806547613969,0.006707462046102801,17.280028760456826,0.004975124378109453,0.0,0,0.8752027708711264,0.007621203893619611,5.036346159001646,0.004975124378109453,0.0,0
finch,zero,zipf,1.0,5,0.5,0.8385192357891322,0,-0.6221196079383247,56.03333333333333,0.530414837873466,9.383333333333333,11258,30,0.558576330754532,0.021725859432664463,12.885239633545215,0.004975124378109453,0.015833333333333335,0,0.7249153993775898,0.010259064907513783,11.07350791087583,0.004975124378109453,0.0018333333333333333,0,0.8089081329232044,0.010799154050043397,2.7419835598890114,0.004975124378109453,0.00016666666666666666,0
finch,zero,zipf,1.0,6,0.5,0.8862651321983428,0,-0.7431195040035542,55.3,0.558147621376614,11.276666666666667,12453,30,0.5394153604421397,0.02080117265930087,16.674529721819095,0.004975124378109453,0.030666666666666665,0,0.7937794720272526,0.006361285114307158,14.538832721564514,0.004975124378109453,0.0,0,0.8328434731623878,0.011116945483547622,4.80542601517797,0.004975124378109453,0.0,0
finch,zero,zipf,1.0,7,0.5,0.8694841689008853,0,-0.7420150649790115,55.03333333333333,0.5488662393363892,11.15,12159,30,0.5778041628544883,0.02063928027969397,14.132276033547905,0.004975124378109453,0.012333333333333333,0,0.7886466922459867,0.00669414109483867,12.075854916955079,0.004975124378109453,0.0,0,0.8462911259648714,0.010039655182518021,2.3101433778721554,0.014925373134328358,0.0,0
finch,zero,zipf,1.0,8,0.5,0.8695363211275687,0,-0.7034149347744952,55.666666666666664,0.5989678246652501,10.81,12301,30,0.49287068140986107,0.023498174297020984,16.029570423497116,0.004975124378109453,0.050833333333333335,0,0.7558194397303619,0.00873101838224883,13.024469359543026,0.004975124378109453,0.0,0,0.8392959300886352,0.011119140970372764,2.719669722644024,0.009950248756218905,0.0,0
finch,zero,zipf,1.0,9,0.5,0.8710351263305814,0,-0.6853495810957121,55.96666666666667,0.5643071667430184,10.5,12331,30,0.5541630950341946,0.019258281250417383,16.453806400273614,0.004975124378109453,0.011333333333333334,0,0.7567133659582046,0.00811881583163334,14.081088023569274,0.004975124378109453,0.0,0,0.8404521681157684,0.009950430217855761,3.07353124892357,0.004975124378109453,0.0,0
finch,zero,zipf,1.0,10,0.5,0.8929969797407884,0,-0.7641096033761822,55.766666666666666,0.6202438290429114,12.11,13358,30,0.5187152518906933,0.02140300448331624,17.487345206223253,0.004975124378109453,0.014333333333333333,0,0.7721932252927901,0.007667157496194925,15.75600273086226,0.004975124378109453,0.0,0,0.8565705008882212,0.008630346743739827,4.22074337615575,0.004975124378109453,0.0,0
finch,zero,zipf,1.0,11,0.5,0.8911096314484085,0,-0.7858516079817152,54.166666666666664,0.6432795981106533,12.19,13466,30,0.524599561048432,0.022522622167396738,16.272975130334896,0.004975124378109453,0.012666666666666666,0,0.7883981430605509,0.006578527951895088,15.61314159321453,0.004975124378109453,0.0,0,0.8570203936711757,0.009406863313318319,3.623868726674171,0.004975124378109453,0.0,0
finch,zero,zipf,1.0,12,0.5,0.8598414642795197,0,-0.6459112883077189,55.5,0.6005819119967442,9.586666666666666,11511,30,0.6058139727364614,0.01945152797267556,13.05951346855127,0.004975124378109453,0.0033333333333333335,0,0.7280301192427043,0.010004951758996251,13.174610753949239,0.004975124378109453,0.0,0,0.8097071418356588,0.013170810021956364,3.806472218510825,0.004975124378109453,0.0,0
finch,zero,zipf,1.0,13,0.5,0.8991528840163411,0,-0.8026989803047057,55.03333333333333,0.6146843760084437,12.31,13310,30,0.5658959826085297,0.020593059843912555,16.182971541566435,0.004975124378109453,0.0265,0,0.8084325701016638,0.005946653706434026,15.255691417935058,0.004975124378109453,0.0,0,0.8538657188762662,0.00958356372463231,4.725503626972797,0.004975124378109453,0.0,0
finch,zero,zipf,1.0,14,0.5,0.9006688186061754,0,-0.7786186948378777,55.13333333333333,0.6230843936582651,11.96,12249,30,0.5568905432585173,0.022512398790093167,15.270619472987553,0.004975124378109453,0.021,0,0.8015279112021599,0.0062947690423152,15.749729138203888,0.004975124378109453,0.0,0,0.8465932165375278,0.008843132304206842,6.114982814734415,0.004975124378109453,0.0,0
finch,zero,uniform,1.0,0,0.5,0.8376633775493816,0,-0.6451560752866748,62.36666666666667,0.5916483534209283,11.103333333333333,13161,30,0.5352057806001294,0.021112583316287282,14.325939768627064,0.004975124378109453,0.007666666666666666,0,0.7216116035941055,0.008800417985773093,13.187075221073295,0.004975124378109453,0.0,0,0.7993209635035404,0.01111599317089474,3.449301691389482,0.004975124378109453,0.0,0
finch,zero,uniform,1.0,1,0.5,0.8114125649661447,0,-0.5215023202128052,63.96666666666667,0.5236927142743557,9.09,12204,30,0.45068000210546544,0.023244299059621058,15.519184378733428,0.004975124378109453,0.058333333333333334,0,0.6506450155874265,0.011217452525687127,14.331912616574265,0.004975124378109453,0.0015,0,0.7179161240033116,0.01643561429212929,5.688649009462747,0.004975124378109453,0.002,0
finch,zero,uniform,1.0,2,0.5,0.8064673778413705,0,-0.5463194526616363,64.7,0.5589911411170269,9.766666666666667,12770,30,0.4532545771851994,0.024277303557142735,14.549095200164876,0.004975124378109453,0.07583333333333334,0,0.6572123065720326,0.010874173279117563,13.725647682657666,0.004975124378109453,0.0031666666666666666,0,0.7256544151061345,0.016124543096673983,5.011798613500267,0.004975124378109453,0.0006666666666666666,0
finch,zero,uniform,1.0,3,0.5,0.8480348646875131,0,-0.6499417989826222,61.63333333333333,0.6484945652291966,10.593333333333334,12496,30,0.4168493228993895,0.02467985986919653,17.47115032554523,0.004975124378109453,0.05366666666666667,0,0.701587279542085,0.009565447204066869,15.31006151841642,0.004975124378109453,0.0003333333333333333,0,0.7904333737848203,0.011119621649903398,5.180166440572486,0.004975124378109453,0.0,0
finch,zero,uniform,1.0,4,0.5,0.8332933123562657,0,-0.6320935984750476,60.9,0.6545497910839113,10.09,12384,30,0.3517159162148485,0.02327169661814691,20.693695180173954,0.004975124378109453,0.10683333333333334,0,0.695170086755651,0.010009361338833907,13.799404469966525,0.004975124378109453,0.0,0,0.7484833017597461,0.01407028967186008,6.027595207661975,0.004975124378109453,0.0,0
finch,zero,uniform,1.0,5,0.5,0.8230374642804478,0,-0.5573605114159371,66.13333333333334,0.5577793068922775,9.99,12806,30,0.4962465284791506,0.02209779798232051,14.78839366993709,0.004975124378109453,0.032,0,0.6583968459476875,0.011112284758762797,14.816090651648377,0.004975124378109453,0.0015,0,0.7448680108984723,0.015072946036266091,5.186076643139087,0.004975124378109453,0.00016666666666666666,0
finch,zero,uniform,1.0,6,0.5,0.8202746071906039,0,-0.6345599369140282,62.63333333333333,0.5868867637056993,10.726666666666667,12829,30,0.46655467017138486,0.023738001890014567,14.900998772268695,0.004975124378109453,0.033666666666666664,0,0.7290601634771591,0.00848095475302002,10.755209333119462,0.004975124378109453,0.0,0,0.7702731663481219,0.013423625274826791,3.724883540681756,0.004975124378109453,0.0,0
finch,zero,uniform,1.0,7,0.5,0.8509595643802211,0,-0.6171152241651989,62.8,0.6298195733876601,10.216666666666667,11638,30,0.4271721170767582,0.023266403394273435,18.214566304982483,0.004975124378109453,0.09416666666666666,0,0.7162020727597153,0.008832829348937865,15.256435542560354,0.004975124378109453,0.0,0,0.8086090196327824,0.011607424404069568,3.648573815616718,0.004975124378109453,0.0,0
finch,zero,uniform,1.0,8,0.5,0.8351661086199827,0,-0.6415607501677182,61.2,0.6384155283133378,10.483333333333333,12406,30,0.37765238066284,0.027505560971674663,16.633499255961084,0.004975124378109453,0.11933333333333333,0,0.6998018937231824,0.009737638884973445,13.901133169529066,0.004975124378109453,0.0,0,0.768233000874333,0.014777854983364294,4.529284379972438,0.004975124378109453,0.0,0
finch,zero,uniform,1.0,9,0.5,0.8659116678099491,0,-0.7343641070958709,59.5,0.6952824632303838,11.79,12609,30,0.3582713059658782,0.029196014212840515,17.38731725992957,0.004975124378109453,0.1375,0,0.7520860788757391,0.007128687901412874,15.967256598742427,0.004975124378109453,0.0,0,0.8054701151016593,0.010944877523147658,5.52235989671516,0.004975124378109453,0.0,0
finch,zero,uniform,1.0,10,0.5,0.8178918676798304,0,-0.6024413570859456,63.03333333333333,0.5980503380614961,10.136666666666667,12598,30,0.40484572361138055,0.02861244246774256,14.435892515436764,0.004975124378109453,0.07966666666666666,0,0.6917036080825091,0.010084645583266985,12.51290970569159,0.004975124378109453,0.0,0,0.7528434440059794,0.013329526399189072,4.880025120608062,0.004975124378109453,0.0,0
finch,zero,uniform,1.0,11,0.5,0.8450818459211884,0,-0.6532477974380707,61.03333333333333,0.6396774111574544,10.536666666666667,11712,30,0.3899206127572972,0.028402504612938667,16.02539069588053,0.004975124378109453,0.09283333333333334,0,0.7271885514967897,0.008024162790537354,14.692285974485284,0.004975124378109453,0.0,0,0.7898817832424548,0.011625153379856642,4.7483298391899815,0.004975124378109453,0.0,0
