regime,structure,undefined_policy,law,stickiness,dataset,threshold,n_themes,variants_per_theme,phrases_per_cycle,zipf_exponent,lognormal_sigma,geometric_tail,observed_mean_r2,observed_undefined_groups,observed_mean_slope,observed_mean_unit_types,boundary_f1,cuts_per_sequence,elements_total,n_groups,shuffle_mean,shuffle_sd,shuffle_z,shuffle_p,shuffle_undefined_rate,shuffle_dropped_replicates,rotate_mean,rotate_sd,rotate_z,rotate_p,rotate_undefined_rate,rotate_dropped_replicates,bigram_mean,bigram_sd,bigram_z,bigram_p,bigram_undefined_rate,bigram_dropped_replicates
whale,song,skip,zipf,0.0,0,0.5,4,3,40.0,1.0,1.0,0.05,0.8462979141035403,0,-1.3577127267108482,56.375,0.5602222284021983,191.4909090909091,45931,8,0.6767934079820336,0.011711376635881395,14.473491152370391,0.004975124378109453,0.0,0,0.9167712941694947,0.004528760666792739,-15.561294855500394,1.0,0.0,0,0.9312721437273339,0.004020592693924293,-21.13475203598768,1.0,0.0,0
whale,song,skip,zipf,0.0,1,0.5,4,3,40.0,1.0,1.0,0.05,0.8936606674331102,0,-1.4854981340485427,63.0,0.5910416291677902,177.45454545454547,45810,8,0.6605587983798432,0.009376322259308303,24.86069298885884,0.004975124378109453,0.0,0,0.9063746206964651,0.004494314519084365,-2.8288970897268513,1.0,0.0,0,0.9378464187075568,0.004033688935083843,-10.954179160949142,1.0,0.0,0
whale,song,skip,zipf,0.0,2,0.5,4,3,40.0,1.0,1.0,0.05,0.9057082893252515,0,-1.4850852472747034,65.0,0.5390822392775314,188.70909090909092,45522,8,0.6827690790019375,0.009931517062608369,22.44764912730888,0.004975124378109453,0.0,0,0.9145154063938508,0.004253084915552964,-2.0707597528544084,0.9701492537313433,0.0,0,0.938391271699773,0.0038645245858903356,-8.457180604788872,1.0,0.0,0
whale,song,skip,zipf,0.0,3,0.5,4,3,40.0,1.0,1.0,0.05,0.800930040718581,0,-1.4671032385801275,54.5,0.5952190970855731,203.4909090909091,45765,8,0.6689226944052078,0.012301107064460396,10.73133870160034,0.004975124378109453,0.0,0,0.9236875486805428,0.004075976724994526,-30.11732309686501,1.0,0.0,0,0.9407229262747644,0.0041608372064385465,-33.597297519803384,1.0,0.0,0
whale,song,skip,zipf,0.0,4,0.5,4,3,40.0,1.0,1.0,0.05,0.891084683452526,0,-1.4460884839744947,69.0,0.569653431448482,172.4,45698,8,0.6663575666046451,0.010739952980833446,20.924404161631774,0.004975124378109453,0.0,0,0.9151338817284494,0.005205245893187401,-4.620184861468103,1.0,0.0,0,0.9322730004650671,0.004717290444884387,-8.731350654316255,1.0,0.0,0
whale,song,skip,zipf,0.0,5,0.5,4,3,40.0,1.0,1.0,0.05,0.8748568879097969,0,-1.3868854629972585,67.375,0.5493744516809442,184.94545454545454,45779,8,0.6761287135307339,0.008920975034445201,22.276508297775095,0.004975124378109453,0.0,0,0.8948376000582214,0.006535480193633065,-3.0572676462075403,0.9950248756218906,0.0,0,0.9333788713134382,0.006216441492714775,-9.414064858846483,1.0,0.0,0
whale,song,skip,zipf,0.0,6,0.5,4,3,40.0,1.0,1.0,0.05,0.8233862164409858,0,-1.352093584883136,63.875,0.5831528757287888,176.98181818181817,45665,8,0.6588445283562296,0.010026685332412941,16.410377171491312,0.004975124378109453,0.0,0,0.9086075524818841,0.004819077995547135,-17.68415786580825,1.0,0.0,0,0.9410275652909533,0.0034247737534278304,-34.350108158888226,1.0,0.0,0
whale,song,skip,zipf,0.0,7,0.5,4,3,40.0,1.0,1.0,0.05,0.9037387780318402,0,-1.504412345471506,65.125,0.5726461494297841,200.6727272727273,45567,8,0.7127820427180004,0.010570721334968376,18.064683502926822,0.004975124378109453,0.0,0,0.9239838409299794,0.0034920701257441303,-5.797438816846543,1.0,0.0,0,0.9476330068168387,0.003039912215132075,-14.439308005837075,1.0,0.0,0
whale,song,skip,zipf,0.0,8,0.5,4,3,40.0,1.0,1.0,0.05,0.882998315855748,0,-1.4258359364115079,62.375,0.5680082701678557,190.3272727272727,45493,8,0.6685964765607056,0.011331891980910606,18.920215587672185,0.004975124378109453,0.0,0,0.9057313701934426,0.0051912302029340105,-4.379126613350007,1.0,0.0,0,0.9356159604795932,0.004597828547991624,-11.444020601165981,1.0,0.0,0
whale,song,skip,zipf,0.0,9,0.5,4,3,40.0,1.0,1.0,0.05,0.8802702006871955,0,-1.4826994778121185,67.75,0.49994322948393943,179.2,45942,8,0.6706525571869641,0.009955046265663361,21.05642082480702,0.004975124378109453,0.0,0,0.916436292188892,0.003194044682999505,-11.322976066738411,1.0,0.0,0,0.9400884760448682,0.0034338866485369886,-17.419991246117092,1.0,0.0,0
