regime,undefined_policy,law,mean_repeats,dataset,threshold,zipf_exponent,lognormal_sigma,geometric_tail,observed_mean_r2,observed_undefined_groups,observed_mean_slope,observed_mean_unit_types,boundary_f1,cuts_per_sequence,elements_total,n_groups,shuffle_mean,shuffle_sd,shuffle_z,shuffle_p,shuffle_undefined_rate,shuffle_dropped_replicates,rotate_mean,rotate_sd,rotate_z,rotate_p,rotate_undefined_rate,rotate_dropped_replicates,bigram_mean,bigram_sd,bigram_z,bigram_p,bigram_undefined_rate,bigram_dropped_replicates
finch,skip,zipf,1.0,0,0.5,1.2,1.0,0.05,0.9293499481532475,0,-1.0735699697091594,33.6,0.5952313669466636,13.266666666666667,14005,30,0.6298519011643201,0.015436054117458723,19.40250045185994,0.004975124378109453,0.0023333333333333335,0,0.8420103989973075,0.005351650059272415,16.320115887363208,0.004975124378109453,0.0,0,0.8684714330214206,0.008709374929989345,6.989998205520052,0.004975124378109453,0.0,0
finch,skip,zipf,1.0,1,0.5,1.2,1.0,0.05,0.9129332396538811,0,-0.8521715409979047,38.266666666666666,0.5986130786361379,9.016666666666667,13019,30,0.5635254131111641,0.018478431964342824,18.90895435375452,0.004975124378109453,0.016,0,0.7398100314515148,0.00984625582080964,17.58264373311099,0.004975124378109453,0.00016666666666666666,0,0.8191591783389416,0.012564880005814946,7.463187970879264,0.004975124378109453,0.0,0
finch,skip,zipf,1.0,2,0.5,1.2,1.0,0.05,0.9118534606520822,0,-0.9513552154483567,35.56666666666667,0.5809760246298387,10.026666666666667,13650,30,0.7340661505012198,0.014274566451154444,12.454830818100534,0.004975124378109453,0.0,0,0.7914225787162189,0.007232812184241243,16.650630331346985,0.004975124378109453,0.0,0,0.8504385263176131,0.01092167110566933,5.623217705447037,0.004975124378109453,0.0,0
finch,skip,zipf,1.0,3,0.5,1.2,1.0,0.05,0.9220693261263124,0,-0.9019885874587005,38.2,0.5548864793759344,9.913333333333334,13649,30,0.4889855871752967,0.0191047852315642,22.668861947502617,0.004975124378109453,0.05633333333333333,0,0.788661129267543,0.0073283538209252255,18.204388068414293,0.004975124378109453,0.0,0,0.8658933453716933,0.007880019358543175,7.12891405447064,0.004975124378109453,0.0,0
finch,skip,zipf,1.0,4,0.5,1.2,1.0,0.05,0.9282352636610854,0,-1.0135918196916307,34.8,0.5848655772216816,11.176666666666666,13899,30,0.5450019346985574,0.019197367079415883,19.962806742047704,0.004975124378109453,0.03716666666666667,0,0.8197768386939904,0.005854113901268245,18.526873032586263,0.004975124378109453,0.0,0,0.8779210332693249,0.0071471291042904265,7.039781940073933,0.004975124378109453,0.0,0
finch,skip,zipf,1.0,5,0.5,1.2,1.0,0.05,0.9165494334497579,0,-1.0243885752090383,33.3,0.6386344948059673,11.15,12233,30,0.5659530092101374,0.01846109706855708,18.9910937003173,0.004975124378109453,0.008833333333333334,0,0.8319957346343869,0.006111177385577184,13.835909756919147,0.004975124378109453,0.0,0,0.8949268871876183,0.006683518539118034,3.235204052414135,0.004975124378109453,0.0,0
finch,skip,zipf,1.0,6,0.5,1.2,1.0,0.05,0.9127032527141858,0,-0.8829343844116663,39.766666666666666,0.5397118049905925,10.546666666666667,13165,30,0.6103902551190653,0.01782869660934221,16.956539461034353,0.004975124378109453,0.0015,0,0.7954788496811332,0.00844777063629263,13.87637142152541,0.004975124378109453,0.0,0,0.8409072234960752,0.012353122315232917,5.811974283584755,0.004975124378109453,0.0,0
finch,skip,zipf,1.0,7,0.5,1.2,1.0,0.05,0.9389268321859199,0,-1.0478727212843675,32.93333333333333,0.6902271283667604,10.96,13126,30,0.5496983748784195,0.020107553009043787,19.357325932819215,0.004975124378109453,0.0125,0,0.8063806381379021,0.006960648555106238,19.04221898271013,0.004975124378109453,0.0,0,0.8469294312888421,0.010604615080648768,8.675223022941587,0.004975124378109453,0.0,0
finch,skip,zipf,1.0,8,0.5,1.2,1.0,0.05,0.9232164245857408,0,-0.9164490084678271,37.06666666666667,0.5888938801189858,9.823333333333334,12363,30,0.5923770887079709,0.01704382948625952,19.411091629641547,0.004975124378109453,0.010166666666666666,0,0.7805230547873094,0.008511899737637092,16.763986207154637,0.004975124378109453,0.0,0,0.8494552242419325,0.009882614330477902,7.463733570612924,0.004975124378109453,0.0,0
finch,skip,zipf,1.0,9,0.5,1.2,1.0,0.05,0.9349484010727901,0,-1.0139305827548737,36.96666666666667,0.592729864175664,12.493333333333334,13112,30,0.6255674215888127,0.018476039745011802,16.744983435506228,0.004975124378109453,0.013333333333333334,0,0.850114623957084,0.005391307098994155,15.735289338560092,0.004975124378109453,0.0,0,0.865931242314634,0.00785412639756473,8.787375611825611,0.004975124378109453,0.0,0
finch,skip,zipf,1.0,10,0.5,1.2,1.0,0.05,0.9232652585156901,0,-1.0125206035894858,37.6,0.6071072725313832,11.903333333333334,15722,30,0.5263617704602932,0.018391279581775208,21.58106978313284,0.004975124378109453,0.0155,0,0.8160679536606971,0.006416499372510485,16.706509052934198,0.004975124378109453,0.0,0,0.8728022888265053,0.0077001226702939725,6.553528021555295,0.004975124378109453,0.0,0
finch,skip,zipf,1.0,11,0.5,1.2,1.0,0.05,0.9158602512091558,0,-1.0842774340817594,31.6,0.6610987077669676,11.91,13321,30,0.6061988260695698,0.019336782496542748,16.014113268065714,0.004975124378109453,0.006833333333333334,0,0.8417393057058866,0.005695563471476603,13.01380379210364,0.004975124378109453,0.0,0,0.8752585857699106,0.008369272853571745,4.851277542220139,0.004975124378109453,0.0,0
