regime,undefined_policy,law,mean_repeats,dataset,threshold,zipf_exponent,lognormal_sigma,geometric_tail,observed_mean_r2,observed_undefined_groups,observed_mean_slope,observed_mean_unit_types,boundary_f1,cuts_per_sequence,elements_total,n_groups,shuffle_mean,shuffle_sd,shuffle_z,shuffle_p,shuffle_undefined_rate,shuffle_dropped_replicates,rotate_mean,rotate_sd,rotate_z,rotate_p,rotate_undefined_rate,rotate_dropped_replicates,bigram_mean,bigram_sd,bigram_z,bigram_p,bigram_undefined_rate,bigram_dropped_replicates
whale,skip,zipf,1.0,0,0.25,1.0,1.0,0.05,0.8528467906183115,0,-0.6375397954035702,401.125,0.6343524007956971,134.8,45596,8,0.2516815063663644,0.021558377070032986,27.885461057622518,0.004975124378109453,0.150625,0,0.5615224235025565,0.015054834373181697,19.350884898123677,0.004975124378109453,0.0,0,0.6916390302504146,0.01325013975829729,12.16649509428366,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,1,0.25,1.0,1.0,0.05,0.852453960364952,0,-0.6849476469803495,361.5,0.7182238263044249,147.21818181818182,45628,8,0.19358009525339692,0.025311052200416347,26.031073694388617,0.004975124378109453,0.235625,0,0.59398061706313,0.022694786149658107,11.389106801771556,0.004975124378109453,0.018125,0,0.7300709219798865,0.010929345477778244,11.197654848947453,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,2,0.25,1.0,1.0,0.05,0.8659375744072497,0,-0.6877828435514932,379.875,0.6787599163664483,151.03636363636363,45657,8,0.22845719484506774,0.023593394953625172,27.019442552256848,0.004975124378109453,0.07625,0,0.5936177642479553,0.016872425742424146,16.13993235569984,0.004975124378109453,0.005,0,0.7076611344967975,0.012511833016392119,12.650140047672444,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,3,0.25,1.0,1.0,0.05,0.8784812972671056,0,-0.6889918014627124,367.5,0.7034260660575564,154.27272727272728,45626,8,0.2008100841989175,0.02533277580322634,26.7507681879015,0.004975124378109453,0.14625,0,0.5749614590074719,0.016562336671988923,18.325906801119558,0.004975124378109453,0.00375,0,0.6964787120850369,0.012396707418169962,14.681526234563375,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,4,0.25,1.0,1.0,0.05,0.8652463310872472,0,-0.67427702922159,370.0,0.6932179775733692,147.03636363636363,45741,8,0.23050933756887104,0.023882619070876087,26.57736120291819,0.004975124378109453,0.139375,0,0.5756765076195901,0.015479268162251638,18.706945343437727,0.004975124378109453,0.0025,0,0.6977648170566613,0.013381018471328833,12.516350260590727,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,5,0.25,1.0,1.0,0.05,0.8638919263779005,0,-0.6874422216759204,384.625,0.677005836106114,151.6727272727273,45577,8,0.2784833770787853,0.022382556434750248,26.154677684191324,0.004975124378109453,0.080625,0,0.5928044806639611,0.015016868053673228,18.0521960201701,0.004975124378109453,0.0,0,0.7011014570541667,0.01188686125560711,13.694991959878763,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,6,0.25,1.0,1.0,0.05,0.8556649343778927,0,-0.678712659387638,373.875,0.6843147639822085,152.92727272727274,45770,8,0.2670188268769084,0.022215866438021595,26.496653152970858,0.004975124378109453,0.070625,0,0.5770853393896076,0.016371140794081633,17.01650474406738,0.004975124378109453,0.0,0,0.68394218110885,0.013354886178728306,12.858421327660817,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,7,0.25,1.0,1.0,0.05,0.8330588327475619,0,-0.64410834205978,372.625,0.6614094054505698,138.87272727272727,45785,8,0.22894066240379082,0.022293360137517617,27.098569556910235,0.004975124378109453,0.12875,0,0.5654077237819816,0.018456653421774896,14.501605618806785,0.004975124378109453,0.00875,0,0.7057881836609521,0.012369397722976324,10.289154891527405,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,8,0.25,1.0,1.0,0.05,0.8710585863337634,0,-0.6678982407418282,396.75,0.6682611598283356,151.83636363636364,45455,8,0.3012111752854809,0.02089573724961773,27.270988539000097,0.004975124378109453,0.04375,0,0.5936668848814806,0.016279199838996266,17.03963979776208,0.004975124378109453,0.0,0,0.6803641936899167,0.013302961099358612,14.334732787652879,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,9,0.25,1.0,1.0,0.05,0.877198343462873,0,-0.6991715496832851,375.5,0.7003941578700001,149.01818181818183,45951,8,0.22184637798749768,0.02330593469022034,28.11953153504608,0.004975124378109453,0.115625,0,0.5930663197853062,0.015523251840074224,18.303640667869765,0.004975124378109453,0.0,0,0.7099992383261382,0.011146674729955449,14.999908868553035,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,10,0.25,1.0,1.0,0.05,0.873848881102583,0,-0.6884275378014089,383.625,0.6835841861015881,148.8,45641,8,0.24311294354621282,0.023269885768798567,27.105244255306683,0.004975124378109453,0.17875,0,0.5810792184453514,0.018494059597764557,15.830470379397918,0.004975124378109453,0.00125,0,0.7102629585372565,0.01078957608177273,15.161478201324222,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,11,0.25,1.0,1.0,0.05,0.8571847979874996,0,-0.6590657411500844,371.375,0.6745578417015011,143.94545454545454,45858,8,0.27850325681374477,0.02163713937279121,26.74482662442195,0.004975124378109453,0.065625,0,0.5589530772023277,0.016627601277151228,17.935943724786462,0.004975124378109453,0.001875,0,0.679456730250662,0.013166495021608392,13.498510229575636,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,12,0.25,1.0,1.0,0.05,0.8613170761654542,0,-0.6631081731268968,377.0,0.6814289312618099,147.27272727272728,45781,8,0.23505983074296283,0.02343558157287652,26.722496451604954,0.004975124378109453,0.216875,0,0.5479951835354133,0.016814053370643466,18.63452468737169,0.004975124378109453,0.001875,0,0.7033224667331595,0.010561495353776361,14.959492395724272,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,13,0.25,1.0,1.0,0.05,0.8522425133206835,0,-0.6635980193213362,380.5,0.6860334474446765,140.0,45590,8,0.24831697409579134,0.02575975294530418,23.444539258866747,0.004975124378109453,0.119375,0,0.5896740758836786,0.014485549855882365,18.126232007021795,0.004975124378109453,0.0,0,0.7011823492532148,0.011519574585946704,13.113345717797117,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,14,0.25,1.0,1.0,0.05,0.8453976146893427,0,-0.6533995272633348,373.125,0.6826503444081135,146.3272727272727,45713,8,0.24769676281278433,0.02505977104800038,23.851010080327583,0.004975124378109453,0.129375,0,0.5657245060375993,0.015793679332752976,17.70791357475244,0.004975124378109453,0.0,0,0.6985400106035442,0.012929723811000854,11.358139294580235,0.004975124378109453,0.0,0
whale,skip,zipf,1.0,15,0.25,1.0,1.0,0.05,0.8764716935875271,0,-0.693553318039363,355.25,0.6982501358030976,147.1818181818182,45483,8,0.24525441935163653,0.027643704301762273,22.83403364995663,0.004975124378109453,0.15625,0,0.5857184307847241,0.015034043025697552,19.339658820040697,0.004975124378109453,0.00375,0,0.7161767507474849,0.013504445425450649,11.86979085701278,0.004975124378109453,0.0,0
