regime,undefined_policy,law,mean_repeats,dataset,threshold,zipf_exponent,lognormal_sigma,geometric_tail,observed_mean_r2,observed_undefined_groups,observed_mean_slope,observed_mean_unit_types,boundary_f1,cuts_per_sequence,elements_total,n_groups,shuffle_mean,shuffle_sd,shuffle_z,shuffle_p,shuffle_undefined_rate,shuffle_dropped_replicates,rotate_mean,rotate_sd,rotate_z,rotate_p,rotate_undefined_rate,rotate_dropped_replicates,bigram_mean,bigram_sd,bigram_z,bigram_p,bigram_undefined_rate,bigram_dropped_replicates
finch,zero,zipf,1.0,0,0.7,1.0,1.0,0.05,0.922282918900461,0,-1.1641941977784784,32.166666666666664,0.6247058575928732,16.30666666666667,13880,30,0.8247792730617922,0.00868628723405808,11.225008247064011,0.004975124378109453,0.0,0,0.8896725266447393,0.0034353590844019943,9.492571651035519,0.004975124378109453,0.0,0,0.923646020764098,0.004136859363458067,-0.3295016204025689,0.6268656716417911,0.0,0
finch,zero,zipf,1.0,1,0.7,1.0,1.0,0.05,0.9233834616451639,0,-1.1627104951110945,31.166666666666668,0.6645836571143305,14.966666666666667,13147,30,0.79466908976268,0.00956555342252695,13.456029797435514,0.004975124378109453,0.0,0,0.8779803982508295,0.004372121945970328,10.384674525416944,0.004975124378109453,0.0,0,0.9176305286090902,0.005224767930664857,1.1010887205743602,0.11442786069651742,0.0,0
finch,zero,zipf,1.0,2,0.7,1.0,1.0,0.05,0.9279970749403958,0,-1.1693324078493532,31.466666666666665,0.6030050214945004,14.816666666666666,13621,30,0.8675647337139938,0.006416080907731378,9.418887027060567,0.004975124378109453,0.0,0,0.8848226720251594,0.003880471174876452,11.126072316878128,0.004975124378109453,0.0,0,0.9247618874611692,0.004563615455449954,0.7089088707864651,0.23880597014925373,0.0,0
finch,zero,zipf,1.0,3,0.7,1.0,1.0,0.05,0.9335453892132032,0,-1.136163188297831,32.03333333333333,0.6595923575344047,14.233333333333333,13659,30,0.7347074899954191,0.014147076729627206,14.05505200953439,0.004975124378109453,0.00016666666666666666,0,0.8721138631062979,0.00381924898848171,16.084713589549587,0.004975124378109453,0.0,0,0.9174093424371912,0.003820718190282664,4.223302000406949,0.004975124378109453,0.0,0
finch,zero,zipf,1.0,4,0.7,1.0,1.0,0.05,0.9314416978267351,0,-1.2091230132378672,30.4,0.6398517012451318,16.13,13863,30,0.7818099734407462,0.010873057909253737,13.761696629854404,0.004975124378109453,0.0,0,0.8903531535856104,0.003638530229466764,11.292621374523078,0.004975124378109453,0.0,0,0.9269056134937316,0.0036355508940940934,1.2477020581316511,0.09950248756218906,0.0,0
finch,zero,zipf,1.0,5,0.7,1.0,1.0,0.05,0.9367080145249039,0,-1.2141084813800187,29.966666666666665,0.6833694726924116,16.136666666666667,12316,30,0.8036313551252304,0.009564690605792748,13.9133260953655,0.004975124378109453,0.0,0,0.9034742657530771,0.00302500362724575,10.986350056738935,0.004975124378109453,0.0,0,0.9349162060886836,0.003250282180667106,0.5512778080863512,0.2935323383084577,0.0,0
finch,zero,zipf,1.0,6,0.7,1.0,1.0,0.05,0.9139871359846112,0,-1.1672614903656837,31.266666666666666,0.626949990607716,16.39666666666667,13237,30,0.8072398596604541,0.010409898678721935,10.254401086760907,0.004975124378109453,0.0,0,0.902532398456228,0.003019029695144245,3.7941784894685933,0.004975124378109453,0.0,0,0.9197584419638511,0.004188327994507406,-1.3779498613309262,0.9054726368159204,0.0,0
finch,zero,zipf,1.0,7,0.7,1.0,1.0,0.05,0.9336157403370007,0,-1.1832619633489627,30.266666666666666,0.7178560413679753,14.626666666666667,13159,30,0.8006746327991872,0.01008426380360275,13.18302556606248,0.004975124378109453,0.0,0,0.880253030630326,0.0035258588025876667,15.134670074567703,0.004975124378109453,0.0,0,0.9175103252019179,0.004332983332503372,3.716934476592579,0.004975124378109453,0.0,0
finch,zero,zipf,1.0,8,0.7,1.0,1.0,0.05,0.9344288166061555,0,-1.1038983501870274,34.03333333333333,0.6596270036064531,13.363333333333333,12505,30,0.7948168263884571,0.00991892302596776,14.075317436398484,0.004975124378109453,0.0,0,0.8668297709457691,0.004070803920207178,16.605822089545907,0.004975124378109453,0.0,0,0.9174733357447877,0.004745181504382525,3.573199643829881,0.004975124378109453,0.0,0
finch,zero,zipf,1.0,9,0.7,1.0,1.0,0.05,0.9160101421128782,0,-1.1513347042408766,31.866666666666667,0.674238389529579,16.126666666666665,13204,30,0.8211077212618796,0.00890741171067052,10.654320686368578,0.004975124378109453,0.0,0,0.9019375628858646,0.0029030348253452055,4.8475406165133625,0.004975124378109453,0.0,0,0.9240540872647458,0.0036517100341254254,-2.2027885775969267,0.9850746268656716,0.0,0
